listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,revenue_earned
9357,9/7/2022,f,$175.00,$175.00,30,1125,175
9357,9/8/2022,f,$175.00,$175.00,30,1125,175
9357,9/9/2022,f,$175.00,$175.00,30,1125,175
9357,9/10/2022,f,$175.00,$175.00,30,1125,175
9357,9/11/2022,f,$175.00,$175.00,30,1125,175
9357,9/12/2022,f,$175.00,$175.00,30,1125,175
9357,9/13/2022,f,$175.00,$175.00,30,1125,175
9357,9/14/2022,f,$175.00,$175.00,30,1125,175
9357,9/15/2022,f,$175.00,$175.00,30,1125,175
9357,9/16/2022,f,$175.00,$175.00,30,1125,175
9357,9/17/2022,f,$175.00,$175.00,30,1125,175
9357,9/18/2022,f,$175.00,$175.00,30,1125,175
9357,9/19/2022,f,$175.00,$175.00,30,1125,175
9357,9/20/2022,f,$175.00,$175.00,30,1125,175
9357,9/21/2022,f,$175.00,$175.00,30,1125,175
9357,9/22/2022,f,$175.00,$175.00,30,1125,175
9357,9/23/2022,f,$175.00,$175.00,30,1125,175
9357,9/24/2022,f,$175.00,$175.00,30,1125,175
9357,9/25/2022,f,$175.00,$175.00,30,1125,175
9357,9/26/2022,f,$175.00,$175.00,30,1125,175
9357,9/27/2022,f,$175.00,$175.00,30,1125,175
9357,9/28/2022,f,$175.00,$175.00,30,1125,175
9357,9/29/2022,f,$175.00,$175.00,30,1125,175
9357,9/30/2022,f,$175.00,$175.00,30,1125,175
9357,10/1/2022,f,$175.00,$175.00,30,1125,175
9357,10/2/2022,f,$175.00,$175.00,30,1125,175
9357,10/3/2022,f,$175.00,$175.00,30,1125,175
9357,10/4/2022,f,$175.00,$175.00,30,1125,175
9357,10/5/2022,f,$175.00,$175.00,30,1125,175
9357,10/6/2022,f,$175.00,$175.00,30,1125,175
15341,9/8/2022,f,$205.00,$205.00,30,1125,205
15341,9/9/2022,f,$221.00,$221.00,30,1125,221
15341,9/10/2022,f,$216.00,$216.00,30,1125,216
15341,9/11/2022,f,$201.00,$201.00,30,1125,201
15341,9/12/2022,f,$196.00,$196.00,30,1125,196
15341,9/13/2022,f,$198.00,$198.00,30,1125,198
15341,9/14/2022,f,$203.00,$203.00,30,1125,203
15341,9/15/2022,f,$212.00,$212.00,30,1125,212
15341,9/16/2022,f,$223.00,$223.00,30,1125,223
15341,9/17/2022,f,$226.00,$226.00,30,1125,226
15341,9/18/2022,f,$220.00,$220.00,30,1125,220
15341,9/19/2022,f,$196.00,$196.00,30,1125,196
15341,9/20/2022,f,$212.00,$212.00,30,1125,212
15341,9/21/2022,t,$189.00,$0.00,30,1125,0
15341,9/22/2022,t,$189.00,$0.00,30,1125,0
15341,9/23/2022,t,$189.00,$0.00,30,1125,0
15341,9/24/2022,t,$190.00,$0.00,30,1125,0
15341,9/25/2022,t,$189.00,$0.00,30,1125,0
15341,9/26/2022,t,$189.00,$0.00,30,1125,0
15341,9/27/2022,t,$189.00,$0.00,30,1125,0
15341,9/28/2022,t,$189.00,$0.00,30,1125,0
15341,9/29/2022,t,$195.00,$0.00,30,1125,0
15341,9/30/2022,t,$224.00,$0.00,30,1125,0
15341,10/1/2022,t,$233.00,$0.00,30,1125,0
15341,10/2/2022,t,$198.00,$0.00,30,1125,0
15341,10/3/2022,t,$199.00,$0.00,30,1125,0
15341,10/4/2022,t,$199.00,$0.00,30,1125,0
15341,10/5/2022,t,$201.00,$0.00,30,1125,0
15341,10/6/2022,t,$202.00,$0.00,30,1125,0
16974,9/7/2022,f,$300.00,$300.00,5,365,300
16974,9/8/2022,t,$300.00,$0.00,5,365,0
16974,9/9/2022,f,$300.00,$300.00,5,365,300
16974,9/10/2022,f,$300.00,$300.00,5,365,300
16974,9/11/2022,f,$300.00,$300.00,5,365,300
16974,9/12/2022,f,$300.00,$300.00,5,365,300
16974,9/13/2022,f,$300.00,$300.00,5,365,300
16974,9/14/2022,f,$300.00,$300.00,5,365,300
16974,9/15/2022,f,$300.00,$300.00,5,365,300
16974,9/16/2022,f,$300.00,$300.00,5,365,300
16974,9/17/2022,f,$300.00,$300.00,5,365,300
16974,9/18/2022,f,$300.00,$300.00,5,365,300
16974,9/19/2022,f,$300.00,$300.00,5,365,300
16974,9/20/2022,f,$300.00,$300.00,5,365,300
16974,9/21/2022,f,$300.00,$300.00,5,365,300
16974,9/22/2022,f,$300.00,$300.00,5,365,300
16974,9/23/2022,f,$300.00,$300.00,5,365,300
16974,9/24/2022,f,$300.00,$300.00,5,365,300
16974,9/25/2022,f,$300.00,$300.00,5,365,300
16974,9/26/2022,t,$300.00,$0.00,5,365,0
16974,9/27/2022,t,$300.00,$0.00,5,365,0
16974,9/28/2022,t,$300.00,$0.00,5,365,0
