id,SUM of revenue_earned,potentail_year_revenue,average revenue_earned
49946551,"$29,940","$359,280","$5,378"
44267714,"$26,100","$313,200",
6833395,"$22,800","$273,600",
46432776,"$20,300","$243,600",
53057804,"$15,300","$183,600",
53058987,"$14,425","$173,100",
4859903,"$14,233","$170,796",
43118961,"$13,601","$163,212",
4967114,"$13,500","$162,000",
289665,"$13,500","$162,000",
50618605,"$13,050","$156,600",
1060019,"$13,021","$156,252",
30087377,"$12,810","$153,720",
25313748,"$12,785","$153,420",
34384453,"$12,609","$151,308",
49928900,"$12,236","$146,832",
53167175,"$12,225","$146,700",
53602040,"$12,135","$145,620",
37251520,"$11,850","$142,200",
48374098,"$11,610","$139,320",
52755593,"$11,600","$139,200",
52336155,"$11,600","$139,200",
29687597,"$11,571","$138,852",
29495933,"$11,455","$137,460",
21366948,"$11,268","$135,216",
6640144,"$11,250","$135,000",
4644669,"$11,250","$135,000",
258688,"$11,250","$135,000",
46351532,"$11,111","$133,332",
52257683,"$11,094","$133,128",
46964389,"$10,978","$131,736",
295998,"$10,950","$131,400",
37517842,"$10,883","$130,596",
53185811,"$10,640","$127,680",
47953903,"$10,548","$126,576",
44801335,"$10,544","$126,528",
39316302,"$10,469","$125,628",
50748961,"$10,425","$125,100",
52993319,"$10,400","$124,800",
46401862,"$10,400","$124,800",
51265906,"$10,312","$123,744",
2243548,"$10,200","$122,400",
614475772890251052,"$10,198","$122,376",
547801869974332779,"$10,146","$121,752",
45801985,"$10,095","$121,140",
17929219,"$10,095","$121,140",
45699760,"$10,075","$120,900",
52211971,"$10,063","$120,756",
5770483,"$9,900","$118,800",
46124725,"$9,793","$117,516",
51465380,"$9,746","$116,952",
35318863,"$9,700","$116,400",
588748105671065001,"$9,680","$116,160",
669816268738070658,"$9,630","$115,560",
33033520,"$9,600","$115,200",
50913708,"$9,594","$115,128",
52553537,"$9,593","$115,116",
581787445126118436,"$9,571","$114,852",
6260442,"$9,550","$114,600",
450577,"$9,525","$114,300",
530431,"$9,502","$114,024",
52811319,"$9,440","$113,280",
612872665004564938,"$9,400","$112,800",
42927825,"$9,375","$112,500",
1231273,"$9,360","$112,320",
43642904,"$9,324","$111,888",
25775079,"$9,275","$111,300",
613798700673277733,"$9,210","$110,520",
53547024,"$9,107","$109,284",
49947015,"$9,100","$109,200",
9544410,"$9,100","$109,200",
14690331,"$9,074","$108,888",
43999770,"$9,070","$108,840",
15854348,"$9,000","$108,000",
15815905,"$9,000","$108,000",
5353612,"$9,000","$108,000",
4880277,"$9,000","$108,000",
999984,"$9,000","$108,000",
25379703,"$8,990","$107,880",
13914201,"$8,970","$107,640",
74438,"$8,970","$107,640",
49517798,"$8,930","$107,160",
23272588,"$8,928","$107,136",
51927457,"$8,840","$106,080",
43669374,"$8,824","$105,888",
52508237,"$8,814","$105,768",
6660511,"$8,760","$105,120",
52534722,"$8,733","$104,796",
52648666,"$8,732","$104,784",
43432968,"$8,730","$104,760",
53077465,"$8,700","$104,400",
9458704,"$8,671","$104,052",
51684534,"$8,608","$103,296",
49946754,"$8,596","$103,152",
36523372,"$8,584","$103,008",
52172527,"$8,573","$102,876",
674751987930263076,"$8,571","$102,852",
46734542,"$8,476","$101,712",
16677256,"$8,438","$101,256",
50975673,"$8,416","$100,992",
9842492,"$8,410","$100,920",
48982748,"$8,400","$100,800",
21813491,"$8,400","$100,800",
51599270,"$8,350","$100,200",
23436576,"$8,319","$99,828",
47078436,"$8,304","$99,648",
40565556,"$8,280","$99,360",
27528305,"$8,280","$99,360",
48182954,"$8,250","$99,000",
52021050,"$8,200","$98,400",
52551990,"$8,191","$98,292",
19153081,"$8,181","$98,172",
30398938,"$8,160","$97,920",
19911921,"$8,144","$97,728",
42997858,"$8,100","$97,200",
51825274,"$8,050","$96,600",
1411811,"$8,041","$96,492",
52403596,"$8,030","$96,360",
1320550,"$8,025","$96,300",
53022671,"$7,982","$95,784",
52791123,"$7,968","$95,616",
21421657,"$7,929","$95,148",
52026903,"$7,924","$95,088",
50999162,"$7,910","$94,920",
36057961,"$7,864","$94,368",
1669149,"$7,830","$93,960",
51356492,"$7,810","$93,720",
4047751,"$7,800","$93,600",
52022524,"$7,794","$93,528",
19376872,"$7,785","$93,420",
14215652,"$7,765","$93,180",
53459678,"$7,714","$92,568",
37053079,"$7,708","$92,496",
52166065,"$7,700","$92,400",
10487548,"$7,700","$92,400",
52020887,"$7,694","$92,328",
52147738,"$7,675","$92,100",
51619634,"$7,660","$91,920",
53025759,"$7,650","$91,800",
50074337,"$7,644","$91,728",
29592296,"$7,638","$91,656",
19314589,"$7,622","$91,464",
50999361,"$7,588","$91,056",
52792657,"$7,572","$90,864",
50997233,"$7,560","$90,720",
52166542,"$7,544","$90,528",
40368139,"$7,540","$90,480",
