neighborhood,SUM of number_of_reviews_ltm
Lower East Side,6242
Hells Kitchen,5506
Harlem,5157
Midtown,4128
Upper West Side,3497
Chelsea,2913
East Village,2572
East Harlem,2175
West Village,1735
Upper East Side,1696
Nolita,1505
Financial District,1112
Chinatown,894
Washington Heights,773
Kips Bay,622
Gramercy,573
Soho,481
Inwood,361
Ellis Island,358
Battery Park City,348
Murray Hill,341
Greenwich Village,311
Little Italy,246
Theater District,209
Tribeca,173
Noho,155
Flatiron District,112
Marble Hill,74
Two Bridges,43
Central Park,37
Stuyvesant Town,5
Morningside Heights,4
Civic Center,2
Roosevelt Island,1
Grand Total,44361
